CaF2 AR coating: spectral data (per surface)							
							
	R at 0 deg	R at 20 deg	R at 30 deg		T at 0 deg	T at 20 deg	T at 30 deg
574	0.28922	0.34045	0.43302		99.69315	99.64175	99.54897
575	0.28509	0.336	0.4287		99.69743	99.64634	99.55343
576	0.28114	0.33184	0.42474		99.70151	99.65063	99.55753
577	0.2774	0.32796	0.42116		99.70538	99.65465	99.56124
578	0.27387	0.32438	0.41793		99.70905	99.65836	99.56461
579	0.27055	0.3211	0.41506		99.71249	99.66177	99.56762
580	0.26747	0.31811	0.41254		99.71571	99.66489	99.57026
581	0.26462	0.31543	0.41037		99.71869	99.6677	99.57257
582	0.26201	0.31306	0.40854		99.72144	99.67021	99.57453
583	0.25965	0.31099	0.40705		99.72392	99.67242	99.57616
584	0.25754	0.30922	0.40587		99.72616	99.67432	99.57747
585	0.25569	0.30776	0.40501		99.72814	99.6759	99.57846
586	0.25409	0.3066	0.40445		99.72986	99.6772	99.57915
587	0.25277	0.30573	0.40419		99.73132	99.67819	99.57954
588	0.25169	0.30516	0.4042		99.73252	99.67889	99.57967
589	0.25089	0.30487	0.40448		99.73344	99.67931	99.57951
590	0.25035	0.30487	0.40502		99.73411	99.67944	99.5791
591	0.25009	0.30516	0.40581		99.7345	99.67928	99.57845
592	0.25009	0.30571	0.40683		99.73463	99.67885	99.57756
593	0.25036	0.30654	0.40807		99.73448	99.67815	99.57645
594	0.2509	0.30763	0.40951		99.73407	99.67719	99.57513
595	0.2517	0.30897	0.41115		99.73339	99.67597	99.57362
596	0.25276	0.31056	0.41296		99.73245	99.67451	99.57194
597	0.25408	0.31238	0.41493		99.73125	99.67281	99.57009
598	0.25566	0.31443	0.41705		99.7298	99.67089	99.5681
599	0.25748	0.31669	0.4193		99.7281	99.66875	99.56598
600	0.25954	0.31916	0.42166		99.72617	99.66641	99.56374
601	0.2619	0.32187	0.42417		99.72394	99.66383	99.56136
602	0.26448	0.32476	0.42676		99.72147	99.66105	99.55889
603	0.26729	0.32782	0.42941		99.71879	99.65811	99.55637
604	0.27031	0.33104	0.43212		99.71589	99.65502	99.55378
605	0.27353	0.3344	0.43485		99.71278	99.65179	99.55117
606	0.27695	0.33788	0.4376		99.70948	99.64842	99.54855
607	0.28057	0.34148	0.44036		99.70599	99.64494	99.54591
608	0.28435	0.34519	0.4431		99.70232	99.64135	99.54329
609	0.28831	0.34898	0.44581		99.69849	99.63768	99.5407
610	0.29243	0.35285	0.44847		99.69448	99.63393	99.53816
611	0.29669	0.35678	0.45108		99.69034	99.63013	99.53567
612	0.30108	0.36076	0.45362		99.68607	99.62627	99.53326
613	0.3056	0.36476	0.45606		99.68166	99.62238	99.53093
614	0.31023	0.36879	0.45841		99.67715	99.61846	99.5287
615	0.31496	0.37282	0.46064		99.67253	99.61456	99.52658
616	0.31978	0.37684	0.46275		99.66783	99.61065	99.5246
617	0.32468	0.38084	0.46472		99.66306	99.60677	99.52274
618	0.32963	0.3848	0.46653		99.65822	99.60293	99.52105
619	0.33464	0.38871	0.46819		99.65332	99.59913	99.51951
620	0.33968	0.39255	0.46967		99.6484	99.59541	99.51814
621	0.34474	0.39632	0.47097		99.64345	99.59175	99.51697
622	0.34982	0.4	0.47208		99.63849	99.58819	99.51598
623	0.35489	0.40357	0.47298		99.63352	99.58473	99.51518
624	0.35995	0.40702	0.47368		99.62858	99.5814	99.5146
625	0.36498	0.41035	0.47415		99.62366	99.57819	99.51424
626	0.36996	0.41353	0.47441		99.61879	99.57511	99.5141
627	0.3749	0.41656	0.47443		99.61397	99.5722	99.51419
628	0.37976	0.41943	0.47421		99.60921	99.56944	99.51452
629	0.38454	0.42212	0.47376		99.60454	99.56686	99.51509
630	0.38923	0.42463	0.47305		99.59996	99.56445	99.5159
631	0.39382	0.42695	0.4721		99.59548	99.56225	99.51697
632	0.39829	0.42906	0.4709		99.59113	99.56026	99.51828
633	0.40263	0.43095	0.46944		99.58689	99.55846	99.51985
634	0.40683	0.43263	0.46773		99.5828	99.5569	99.52168
635	0.41088	0.43407	0.46577		99.57887	99.55556	99.52375
636	0.41476	0.43528	0.46355		99.57509	99.55446	99.52608
637	0.41847	0.43625	0.46107		99.57149	99.5536	99.52866
638	0.42199	0.43697	0.45835		99.56807	99.55299	99.53149
639	0.42533	0.43743	0.45537		99.56484	99.55264	99.53458
640	0.42845	0.43763	0.45216		99.56182	99.55255	99.5379
641	0.43137	0.43757	0.4487		99.55901	99.55271	99.54147
642	0.43406	0.43724	0.44501		99.55643	99.55315	99.54527
643	0.43652	0.43664	0.44109		99.55408	99.55386	99.54929
644	0.43874	0.43576	0.43695		99.55196	99.55484	99.55354
645	0.44072	0.43462	0.4326		99.55008	99.55609	99.558
646	0.44244	0.43319	0.42804		99.54846	99.55762	99.56266
647	0.44391	0.43149	0.42329		99.5471	99.55943	99.56752
648	0.44511	0.42951	0.41835		99.54601	99.56152	99.57256
649	0.44604	0.42726	0.41324		99.54517	99.56387	99.57778
650	0.44669	0.42473	0.40797		99.54462	99.5665	99.58315
651	0.44708	0.42195	0.40256		99.54434	99.56938	99.58867
652	0.44719	0.4189	0.39701		99.54433	99.57254	99.59431
653	0.44701	0.41558	0.39135		99.54462	99.57596	99.60008
654	0.44653	0.41201	0.38558		99.54519	99.57964	99.60596
655	0.44577	0.40818	0.37971		99.54605	99.58356	99.61192
656	0.44472	0.4041	0.37378		99.54721	99.58774	99.61796
657	0.44347	0.39991	0.36789		99.54855	99.59203	99.62395
658	0.44194	0.39548	0.36196		99.55018	99.59657	99.62998
659	0.44012	0.39082	0.35601		99.5521	99.60132	99.63604
660	0.43801	0.38595	0.35005		99.55431	99.60629	99.64209
661	0.43562	0.38088	0.3441		99.5568	99.61147	99.64814
662	0.43294	0.3756	0.33819		99.55958	99.61684	99.65415
663	0.42997	0.37014	0.33234		99.56264	99.6224	99.6601
664	0.42673	0.3645	0.32656		99.56598	99.62814	99.66599
665	0.42322	0.3587	0.32089		99.5696	99.63403	99.67176
666	0.41943	0.35275	0.31533		99.57348	99.64008	99.67741
